Open,High,Low,Close,Adj Close,Volume,sma50,ema20,Position,Hold,Strategy
4586.333008,4628.919922,4441.507813,4511.302246,4511.302246,21502671027,4302.195805660001,4379.162694643299,1,-0.016638228375531833,-0.016638228375531833
4514.355957,4647.289063,4100.145508,4220.706055,4220.706055,25879591528,4310.88964356,4363.988237741812,1,-0.06658343251258048,-0.06658343251258048
4227.762207,4242.725586,3525.494141,4119.587402,4119.587402,38478999182,4316.02869628,4340.595717058133,1,-0.024249412463324037,-0.024249412463324037
4119.628906,4246.92334,4040.217529,4198.322754,4198.322754,25533062707,4323.387509759999,4326.9847122785495,1,0.01893208804349991,0.01893208804349991
4199.0,4375.520508,3930.806641,4358.737305,4358.737305,28229518513,4333.6201660199995,4330.021121006663,0,0.03749730522677567,0.03749730522677567
4358.586914,4428.589355,4264.32373,4315.061523,4315.061523,22366213354,4344.946191399999,4328.591134146726,0,-0.010070824100044173,-0.0
4311.674316,4453.112305,4234.537598,4439.35791,4439.35791,18704315119,4356.180332020001,4339.1755980702,0,0.028398168750355095,0.0
4433.024902,4482.313965,4078.844238,4119.815918,4119.815918,22296131874,4355.45680662,4318.221065323411,0,-0.07470126885536828,-0.0
4113.588379,4227.111816,3897.767578,3908.496094,3908.496094,28014595631,4352.54027342,4279.092976751935,0,-0.05265581294878218,-0.0
3909.667725,4095.648438,3846.054443,4084.452393,4084.452393,19131502454,4354.82568358,4260.5099456537655,0,0.044034996887488236,0.0
4084.811279,4173.608887,3993.055908,4134.453125,4134.453125,14057603914,4354.0814746,4248.477684432407,0,0.012167398385247219,0.0
4136.359863,4145.955078,3680.609131,3784.226807,3784.226807,23999841386,4348.007949219999,4204.173867669411,0,-0.08851347677177233,-0.0
3782.822754,3866.633789,3700.104736,3745.44043,3745.44043,23836759957,4338.55921876,4160.405017377902,0,-0.010302372957655098,-0.0
3862.251465,4086.372803,3664.719971,4018.388672,4018.388672,26411188833,4336.30495118,4146.857260692973,0,0.07034177955658551,0.0
4020.415039,4110.368652,3956.057129,3962.469727,3962.469727,19825531254,4336.94919924,4129.270245239072,0,-0.014013495116875717,-0.0
3959.012451,3992.79248,3711.424561,3879.486572,3879.486572,23143541098,4328.79255372,4105.449096456316,0,-0.021164681225303746,-0.0
3880.291504,3993.829834,3774.61499,3960.860107,3960.860107,19530895889,4319.71482422,4091.6618402420568,0,0.020758382344437703,0.0
3960.872314,4018.658447,3894.398682,3922.592529,3922.592529,16167785597,4311.65366698,4075.542148966614,0,-0.009708405780161404,-0.0
3923.695801,3980.098633,3759.40332,3933.844482,3933.844482,21589690675,4304.5690722399995,4062.0335975149414,0,0.002864392771820032,0.0
3938.463867,4058.821289,3918.837891,4020.26001,4020.26001,16388555198,4298.481733379999,4058.0515506037236,0,0.02172939223261356,0.0
4018.695801,4073.791504,3947.690186,3982.099609,3982.099609,13921756199,4286.427749,4050.8120943352774,0,-0.009537359497990002,-0.0
3981.96167,4149.026855,3897.234375,4108.015625,4108.015625,18007273742,4276.444184540001,4056.2640956377995,0,0.031130875467304905,0.0
4111.345215,4134.106445,4029.064453,4047.98291,4047.98291,12769090623,4266.65735836,4055.4748813848096,0,-0.014721385474811433,-0.0
4049.781982,4138.564941,4027.927002,4093.281006,4093.281006,10894785525,4258.7981152,4059.077653327037,0,0.01112814028037995,0.0
4094.151611,4105.023926,4013.026367,4067.328125,4067.328125,11197244172,4249.7130566000005,4059.8638446508476,0,-0.006360546885739073,-0.0
4064.746338,4126.001465,4033.492432,4037.547607,4037.547607,11424360002,4238.0529149799995,4057.737431245952,0,-0.0073488238462592285,-0.0
4037.538086,4037.538086,3769.280029,3800.893066,3800.893066,17299472803,4217.82902826,4033.2650523553657,0,-0.06040142319818394,-0.0
3797.436279,3827.981934,3612.795898,3628.531738,3628.531738,15722555672,4195.69828606,3994.703324848997,0,-0.04640796992560875,-0.0
3632.219727,3767.559814,3595.204834,3713.852051,3713.852051,12925377999,4177.25184076,3967.9457294677923,0,0.023241540086817905,0.0
3713.430176,3807.288818,3636.869873,3682.632813,3682.632813,14157285268,4156.29681148,3940.7640129847555,0,-0.008441691957648446,-0.0
3683.047119,3769.917969,3682.286621,3769.697021,3769.697021,9776191466,4138.34844722,3924.467005058438,0,0.023366697755857247,0.0
3769.29834,3836.161865,3727.357422,3829.564941,3829.564941,9881471548,4121.91053706,3915.426247102072,0,0.01575657186432416,0.0
3829.535645,3836.19873,3698.047607,3761.380371,3761.380371,12080777893,4104.61096674,3900.7515895584916,0,-0.01796519433567513,-0.0
3761.361572,3876.785156,3723.349854,3794.056641,3794.056641,14030925983,4089.34202144,3890.5878963701493,0,0.008649790523388616,0.0
3794.269043,3842.059814,3456.745361,3550.386963,3550.386963,18061338502,4076.02245602,3858.181260362597,0,-0.06637919929113259,-0.0
3549.708984,3549.708984,3335.376709,3418.408203,3418.408203,24293791313,4058.63874508,3816.2904548590027,0,-0.037881596203369824,-0.0
3417.837891,3420.461914,3117.381348,3193.210449,3193.210449,24494179209,4042.48993648,3756.939686452601,0,-0.06814818395524057,-0.0
3193.502441,3240.304443,3020.880859,3091.972656,3091.972656,16037732700,4018.36325678,3693.6000155552856,0,-0.03221753383115818,-0.0
3091.696289,3206.790771,3075.911377,3157.751465,3157.751465,12334683863,3993.31966304,3642.559910474868,0,0.021050925390710278,0.0
3157.570557,3177.213379,2947.683594,3083.0979,3083.0979,19535744145,3969.58696284,3589.2712871122008,0,-0.023925309425628496,-0.0
